time (s),P(t),P_std
0.0,1.0,0.0
1.0000000000000001e-07,0.04168187912219715,7.959610006185134e-17
2.0000000000000002e-07,0.005200209805149937,8.041775900006842e-17
3.0000000000000004e-07,0.011167677486194651,7.873978458804285e-17
4.0000000000000003e-07,0.027476219217385116,8.034108544791393e-17
5.000000000000001e-07,0.02696620291862626,8.069827209191888e-17
6.000000000000001e-07,0.027861596746564316,7.905224527834553e-17
7.000000000000001e-07,0.012005457301982499,7.813740918642484e-17
8.000000000000001e-07,0.020520943964081554,7.832123127353765e-17
9.000000000000001e-07,0.02281549413687744,7.776846151682843e-17
1.0000000000000002e-06,0.014314967686780845,7.951863425268428e-17
1.1e-06,0.014676368165314809,7.670454735394362e-17
1.2000000000000002e-06,0.018632143155985527,7.832123127353765e-17
1.3e-06,0.019676006570988894,7.567997663813321e-17
1.4000000000000001e-06,0.025497361523413545,7.771561172376095e-17
1.5e-06,0.009256597883705083,8.049435951814986e-17
1.6000000000000001e-06,0.008640933696615114,7.915612475190917e-17
1.7000000000000002e-06,0.03451351089236313,8.110455922690037e-17
1.8000000000000001e-06,0.006091190214517101,8.011062448899506e-17
1.9000000000000002e-06,0.02722032620874781,7.972504247597728e-17
2.0000000000000003e-06,0.015617682581379685,8.059638029359178e-17
2.1000000000000002e-06,0.011546897340521493,7.957028650512844e-17
2.2e-06,0.017637299107819502,7.845226906178752e-17
2.3e-06,0.022940769529162977,7.951863425268428e-17
2.4000000000000003e-06,0.0480950578691801,7.683834223558906e-17
2.5e-06,0.008923823499019238,8.072372494607393e-17
2.6e-06,0.010865238441856181,8.057088721046358e-17
2.7000000000000004e-06,0.020775662455993594,7.753035374459599e-17
2.8000000000000003e-06,0.006504537039017781,7.871369020966661e-17
2.9e-06,0.009341990719800389,7.731808680624463e-17
3e-06,0.03355046984229745,7.998230368823245e-17
3.1000000000000004e-06,0.014576123793254759,8.026433865238615e-17
3.2000000000000003e-06,0.027526684149456433,7.705193081226271e-17
3.3e-06,0.005091797033298777,8.013626399180835e-17
3.4000000000000005e-06,0.008220034863807641,7.694521063526706e-17
