N_traj,T2,T2_error,T2_lower,T2_upper,ci_width_pct,R2
500,0.0019000000005164734,,0.001729344881589929,0.0020706551194430178,17.963696724226903,0.06257693628558869
1000,0.0019000000005164734,,0.0017764888932900644,0.0020235111077428823,13.001169178193173,0.13065657736603686
2000,0.0015347240582398217,,0.001461041957802066,0.0016084061586775775,9.601999791710044,0.16224897518263792
3000,0.0009918332504704208,,0.0009513658055993934,0.0010323006953414482,8.160130717907247,0.791410848739609
5000,0.000990165436860439,,0.0009565511067074371,0.0010237797670134409,6.789639165669997,0.8355710477169778
