time (s),P(t),P_std
0.0,1.0,0.0
5.0000000000000004e-08,0.5159218395111124,7.616701762451289e-17
1.0000000000000001e-07,0.10673767663685285,7.747734153070907e-17
1.5000000000000002e-07,0.007273878784434858,7.776846151682843e-17
2.0000000000000002e-07,0.02233776184328848,7.731808680624463e-17
2.5000000000000004e-07,0.010702962184867618,8.176046992060693e-17
3.0000000000000004e-07,0.009662164854020647,8.036665142642833e-17
3.5000000000000004e-07,0.0205588586665129,8.026433865238615e-17
4.0000000000000003e-07,0.01213652031849303,7.726492895409875e-17
4.5000000000000003e-07,0.011637226757260982,8.023874007458557e-17
5.000000000000001e-07,0.010581121859217835,8.087627385369305e-17
5.5e-07,0.00816327760380252,7.768917334513442e-17
6.000000000000001e-07,0.005211497074893865,8.013626399180835e-17
6.5e-07,0.017514726038845217,7.959610006185134e-17
7.000000000000001e-07,0.013350393920038386,7.913016766816421e-17
7.5e-07,0.018671140420665713,7.640937395859943e-17
8.000000000000001e-07,0.015893074232458743,7.889616961715914e-17
8.500000000000001e-07,0.01581084096686012,8.059638029359178e-17
9.000000000000001e-07,0.02682147361297628,7.873978458804285e-17
9.500000000000001e-07,0.02267824719943072,7.763626957778363e-17
1.0000000000000002e-06,0.014741579388585961,8.011062448899506e-17
1.0500000000000001e-06,0.03269962298920378,7.821624298066782e-17
1.1e-06,0.03093138666205639,8.072372494607393e-17
1.15e-06,0.0371366477514709,8.310620657467094e-17
1.2000000000000002e-06,0.036803017116601264,8.011062448899506e-17
1.25e-06,0.0228883559368006,7.884407573916694e-17
1.3e-06,0.008143898376945015,7.858308834401479e-17
1.3500000000000002e-06,0.015820839111474302,7.800584248392333e-17
1.4000000000000001e-06,0.01644935216216461,8.072372494607393e-17
1.45e-06,0.0054094891583542385,7.925986807919827e-17
1.5e-06,0.0339262934635346,7.821624298066782e-17
1.5500000000000002e-06,0.01821048648148893,8.110455922690037e-17
1.6000000000000001e-06,0.006989095780754273,8.143317496275171e-17
1.65e-06,0.022452348270122043,8.196123257993793e-17
1.7000000000000002e-06,0.012643474045257314,8.011062448899506e-17
1.7500000000000002e-06,0.01662525620039786,7.82425032610722e-17
1.8000000000000001e-06,0.00518999903301633,7.907822793977953e-17
1.85e-06,0.011465024173385215,8.057088721046358e-17
1.9000000000000002e-06,0.012440794561950467,8.026433865238615e-17
1.95e-06,0.010148357799463013,7.67313249939124e-17
2.0000000000000003e-06,0.030029412925875642,8.00849767776001e-17
2.0500000000000003e-06,0.02755408892888286,7.691850745534256e-17
2.1000000000000002e-06,0.011045545612075647,7.557131904205645e-17
2.15e-06,0.0072745725867626706,7.689179500186976e-17
2.2e-06,0.011791407860403003,7.873978458804285e-17
2.25e-06,0.004965882744455946,7.910420206691776e-17
2.3e-06,0.007954727831472256,8.092705958796235e-17
2.3500000000000004e-06,0.019765448141458072,7.818997388068908e-17
2.4000000000000003e-06,0.025408260313653272,7.980230792051356e-17
2.4500000000000003e-06,0.02776112062792991,7.905224527834553e-17
2.5e-06,0.011939464481158355,7.75833297355704e-17
2.55e-06,0.033791120587610385,7.845226906178752e-17
2.6e-06,0.026234392334777475,7.980230792051356e-17
2.65e-06,0.018209608574369002,7.964770207703612e-17
2.7000000000000004e-06,0.02350519213940475,8.168505671170456e-17
2.7500000000000004e-06,0.04156067595757833,8.150882121683646e-17
2.8000000000000003e-06,0.019967795895669854,7.646312660257325e-17
2.8500000000000002e-06,0.007692536936439266,8.20113464535166e-17
2.9e-06,0.014567403386023508,7.813740918642484e-17
2.95e-06,0.022629877475422652,8.018751840318324e-17
3e-06,0.005972221991363461,8.125639316803293e-17
3.0500000000000004e-06,0.00598724504534288,7.92339449818314e-17
3.1000000000000004e-06,0.02536123827327448,8.140794392420253e-17
3.1500000000000003e-06,0.016735370412693358,7.946694842710472e-17
3.2000000000000003e-06,0.015494023321547637,7.654368479166144e-17
3.2500000000000002e-06,0.02466821861592704,7.829499739865214e-17
3.3e-06,0.025896687290908157,7.753035374459599e-17
3.35e-06,0.015135585372972802,8.005932084973443e-17
3.4000000000000005e-06,0.012877989425571577,7.959610006185134e-17
