time (s),P_echo(t),P_echo_std
9.999999999999998e-08,0.9831645988247874,8.440616121040728e-17
1.083110727436042e-07,0.9791412371770132,8.766544843940985e-17
1.1731288478870297e-07,0.9738634251857746,8.617648093045563e-17
1.2706284398111267e-07,0.9669344357129578,8.50969834418119e-17
1.37623129374475e-07,0.9580288695615898,8.233634315563857e-17
1.4906108776881214e-07,0.9466372030817778,8.237376026420737e-17
1.614496632056855e-07,0.9325006131588248,8.267248748308849e-17
1.7486786215901403e-07,0.9151938785708026,8.17353399154273e-17
1.8940125738823482e-07,0.893832972422591,8.162215914581239e-17
2.0514253366707206e-07,0.8685214829355582,8.184836417764597e-17
2.2219207886821518e-07,0.8384786774803122,7.982804644978159e-17
2.406586241734785e-07,0.8037104825702344,7.759656808217908e-17
2.6065993749229337e-07,0.7635184814826748,8.028992906867558e-17
2.823235745107105e-07,0.7170640230250845,7.978943554234763e-17
3.057876921606393e-07,0.6644808463230125,7.647655886031456e-17
3.312019296970979e-07,0.6043662092792746,7.623441611360923e-17
3.5872836300244456e-07,0.5380924436558174,7.97508059416606e-17
3.885425382035175e-07,0.46753954533043157,7.959610006185134e-17
4.20834591193458e-07,0.39073148025111715,8.074916977726412e-17
4.558104601977957e-07,0.31225769746315607,7.86614754840469e-17
4.936931991177907e-07,0.2387866502114663,8.078732199757252e-17
5.347244000266969e-07,0.17344412961176173,7.889616961715914e-17
5.791657338907157e-07,0.11640220137542823,7.897424600402098e-17
6.273006193404024e-07,0.06594374289247543,8.282144704078515e-17
6.794360301348615e-07,0.01877458775214547,7.69985892130607e-17
7.359044528456264e-07,0.018812205783763046,8.086357243644102e-17
7.970660072450474e-07,0.024430562876725983,7.643625500567854e-17
8.633107429217248e-07,0.02914064185370199,7.735793122363097e-17
9.350611267692993e-07,0.02794557997896834,7.743755855425775e-17
1.0127747372122588e-06,0.019475080465179793,8.112988461681563e-17
1.0969471823508161e-06,0.03451120221032949,7.66777603626068e-17
1.1881152606349067e-06,0.03145748321843575,7.695855875066546e-17
1.2868603842241366e-06,0.021807144220780658,7.97508059416606e-17
1.3938122868656264e-06,0.035280327272937784,8.032829940733834e-17
1.509653039936322e-06,0.026224313979690102,7.86614754840469e-17
1.6351214022614587e-06,0.007642890733161604,7.811111357431005e-17
1.7710175314496496e-06,0.009033258291933894,7.83081154346659e-17
1.9182080867904135e-06,0.00640927390475506,7.959610006185134e-17
2.077631756257259e-06,0.0070622889552120855,7.959610006185134e-17
2.2503052428640215e-06,0.018623483458778362,7.913016766816421e-17
2.4373297485515847e-06,0.01210609144386184,7.755684626330686e-17
2.639897996955213e-06,0.010547351672202134,7.932463875935381e-17
2.859301839839105e-06,0.01482965854137294,7.659734318226237e-17
3.0969404957073466e-06,0.018680284156881857,7.71185559270127e-17
3.354329473131714e-06,0.005270217464548341,7.990521229327011e-17
3.6331102357038466e-06,0.01790660720379744,7.924690759050411e-17
3.935060670248523e-06,0.014842874151864156,7.936347579412092e-17
4.262106425057829e-06,0.0619418288134741,7.747734153070907e-17
4.616333190454205e-06,0.015209478818511233,7.818997388068908e-17
4.999999999999999e-06,0.027905627539460298,8.34515588764179e-17
