time (s),B_z (T)
1.0100000000000002e-05,-7.481669062873928e-05
1.02e-05,-6.487731968807211e-05
1.0300000000000001e-05,-6.703225318084238e-05
1.04e-05,-5.317641202884683e-05
1.0500000000000001e-05,-4.212848683894833e-05
1.06e-05,-4.901384503218537e-05
1.0700000000000001e-05,-5.6599893793433686e-05
1.0800000000000002e-05,-6.647705319140326e-05
1.09e-05,-7.37912430790246e-05
1.1000000000000001e-05,-6.361042536267325e-05
1.11e-05,-5.041193127533053e-05
1.1200000000000001e-05,-5.472285157964144e-05
1.13e-05,-4.580600169134077e-05
1.1400000000000001e-05,-4.591120816154254e-05
1.1500000000000002e-05,-4.7747732720580894e-05
1.16e-05,-4.857757429832715e-05
1.1700000000000001e-05,-4.20392271612522e-05
1.18e-05,-5.751243640549099e-05
1.1900000000000001e-05,-5.9962568658757045e-05
1.2e-05,-6.432280877194346e-05
1.2100000000000001e-05,-5.7398021979734407e-05
1.2200000000000002e-05,-5.108694384561458e-05
1.23e-05,-4.274159504128462e-05
1.2400000000000002e-05,-3.736834458797031e-05
1.25e-05,-3.425946675106904e-05
1.2600000000000001e-05,-4.039928695897029e-05
1.27e-05,-3.799060332430227e-05
1.2800000000000001e-05,-4.055565479389036e-05
1.2900000000000002e-05,-4.430129500183802e-05
1.3000000000000001e-05,-6.133561035271648e-05
1.3100000000000002e-05,-5.2272769812670305e-05
1.32e-05,-5.9404061498675526e-05
1.3300000000000001e-05,-5.9099139017267286e-05
1.34e-05,-4.366272729915235e-05
1.3500000000000001e-05,-3.612951151952932e-05
1.3600000000000002e-05,-3.9473297528564394e-05
1.3700000000000001e-05,-1.9429776317672628e-05
1.3800000000000002e-05,-1.1018879992878515e-05
1.39e-05,-1.7481429867452e-05
1.4000000000000001e-05,-2.0870904915281273e-05
1.41e-05,-1.2446545388761834e-05
1.4200000000000001e-05,-5.664799201902956e-06
1.4300000000000002e-05,-2.3570285490147097e-06
1.4400000000000001e-05,-1.17620981284546e-05
1.4500000000000002e-05,-1.2345987174563757e-05
1.46e-05,-5.494571967879278e-06
1.4700000000000002e-05,9.544510437676932e-06
1.48e-05,1.0801169855423924e-05
1.4900000000000001e-05,9.21650259714718e-06
1.5000000000000002e-05,7.488272668953837e-06
1.5100000000000001e-05,1.150451312145207e-05
1.5200000000000002e-05,-2.7765731701494066e-06
1.5300000000000003e-05,-5.8645294549309754e-06
1.54e-05,-6.7323801130176465e-06
1.55e-05,-3.7974557120662167e-06
1.56e-05,-4.2360743718256795e-06
1.5700000000000002e-05,-6.084277111740293e-06
1.58e-05,-9.911359345729419e-06
1.59e-05,-9.176485265349293e-06
1.6000000000000003e-05,-4.905170590377399e-06
1.6100000000000002e-05,-1.7911138572581999e-06
1.62e-05,6.0438699273252426e-06
1.63e-05,2.7448348862177727e-06
1.6400000000000002e-05,7.5856983416025385e-06
1.65e-05,-4.3757662591014e-06
1.66e-05,-6.847202136447739e-06
1.6700000000000003e-05,4.447957750374219e-06
1.6800000000000002e-05,-2.481601402768352e-06
1.69e-05,3.1398847681848323e-06
1.7e-05,-1.752629061287845e-06
1.7100000000000002e-05,-6.468406145717585e-07
1.72e-05,-1.2614051584909951e-05
1.73e-05,1.4028372003829641e-06
1.7400000000000003e-05,1.331878917085919e-05
1.7500000000000002e-05,7.6576802327461e-06
1.76e-05,-3.125201138494039e-07
1.77e-05,-1.2835741148702763e-05
1.7800000000000002e-05,-1.0791644049190627e-05
1.79e-05,-8.906748687048539e-06
1.8e-05,-4.104050959404308e-06
1.8100000000000003e-05,-4.0359696083408777e-07
1.8200000000000002e-05,-7.883087754529225e-06
1.83e-05,8.464140221043642e-07
1.84e-05,1.3338587377997263e-05
1.8500000000000002e-05,1.1014923187114909e-05
1.86e-05,6.537363463039614e-06
1.87e-05,4.977994858838276e-06
1.8800000000000003e-05,2.1128271833630188e-06
1.8900000000000002e-05,9.163160107054244e-06
1.9e-05,1.6399017231931312e-05
1.91e-05,2.1330379200584935e-05
1.9200000000000003e-05,1.8927354491229492e-05
1.93e-05,1.9351661976140714e-05
1.94e-05,2.736856872436255e-05
1.9500000000000003e-05,3.223790471734782e-05
1.9600000000000002e-05,3.381726648891306e-05
1.97e-05,3.644026585662678e-05
1.98e-05,4.527380306874948e-05
1.9900000000000003e-05,4.2171397826710356e-05
2e-05,3.399742373292746e-05
2.01e-05,3.1165382883961445e-05
2.0200000000000003e-05,4.591829584176876e-05
2.0300000000000002e-05,3.94590951732631e-05
2.04e-05,4.8872836934841684e-05
2.05e-05,4.000964467844278e-05
2.0600000000000003e-05,4.0102251660615785e-05
2.0700000000000002e-05,4.515595641965009e-05
2.08e-05,4.1991777644446055e-05
2.0900000000000003e-05,3.6828856374709556e-05
2.1000000000000002e-05,3.991786527076249e-05
2.11e-05,3.161965072628223e-05
2.12e-05,4.004065282757505e-05
2.1300000000000003e-05,3.525870437729805e-05
2.1400000000000002e-05,3.896663054168083e-05
2.15e-05,3.420462165154508e-05
2.1600000000000003e-05,3.314083613573506e-05
2.1700000000000002e-05,3.192875408063375e-05
2.18e-05,3.950859563010326e-05
2.19e-05,4.391742173850456e-05
2.2000000000000003e-05,3.46771816118397e-05
2.2100000000000002e-05,2.324383950943046e-05
2.22e-05,1.398775610961341e-05
2.2300000000000003e-05,7.480527848979199e-06
2.2400000000000002e-05,1.5785188351325346e-05
2.25e-05,1.7050637552366895e-05
2.26e-05,2.5601789774530037e-05
2.2700000000000003e-05,1.9313659815456598e-05
2.2800000000000002e-05,1.7055048410222376e-05
2.29e-05,1.3541679270184564e-05
2.3000000000000003e-05,1.4336547429849662e-06
2.3100000000000002e-05,1.0960348455414405e-05
2.32e-05,2.4580596003108118e-06
2.33e-05,-7.182749852022706e-06
2.3400000000000003e-05,-4.699207314931256e-06
2.3500000000000002e-05,3.5067000919786134e-06
2.36e-05,9.863329183366567e-06
2.3700000000000003e-05,1.3862152455629869e-05
2.3800000000000003e-05,2.5720114011079787e-05
2.39e-05,2.087312286440339e-05
2.4e-05,7.606435576682664e-06
2.4100000000000003e-05,1.1914555806257423e-05
2.4200000000000002e-05,9.12192422204608e-06
2.43e-05,1.4034522950598393e-05
2.4400000000000004e-05,2.8937104160127396e-05
2.4500000000000003e-05,3.71343342223692e-05
2.46e-05,3.952844673509847e-05
2.47e-05,3.490462997331426e-05
2.4800000000000003e-05,4.336371281731518e-05
