time (s),B_z (T)
9.900000000000001e-09,4.2864415407549825e-05
1e-08,4.9756289471871857e-05
1.0100000000000001e-08,5.323803574406751e-05
1.02e-08,5.658312923393101e-05
1.03e-08,5.93853747045418e-05
1.04e-08,5.168825853313769e-05
1.05e-08,5.5711747473172167e-05
1.06e-08,4.637732426757721e-05
1.07e-08,4.0770135284446464e-05
1.08e-08,4.8806190339772955e-05
1.09e-08,5.376172153646008e-05
1.1000000000000001e-08,6.285898914913425e-05
1.11e-08,6.0474202356014964e-05
1.1200000000000001e-08,5.241065430625256e-05
1.13e-08,5.033211830364184e-05
1.1400000000000001e-08,5.0492047305035266e-05
1.15e-08,5.0501164108338894e-05
1.16e-08,5.73402424138955e-05
1.17e-08,5.4430155287322984e-05
1.18e-08,5.616829749467151e-05
1.19e-08,4.920718756867365e-05
1.2e-08,5.1633766359556745e-05
1.21e-08,5.114013238314254e-05
1.22e-08,4.5775581970287e-05
1.2300000000000001e-08,4.379290580417877e-05
1.24e-08,4.216445996360178e-05
1.2500000000000001e-08,3.9995425677913e-05
1.26e-08,5.106844934466894e-05
1.2700000000000001e-08,4.99227857597449e-05
1.28e-08,4.7846604973212695e-05
1.29e-08,3.378769268328683e-05
1.3e-08,2.7660724319618254e-05
1.31e-08,2.568186485177614e-05
1.32e-08,2.0984829698113116e-05
1.33e-08,2.9723793075866436e-05
1.3400000000000001e-08,2.8359919945788337e-05
1.35e-08,3.6421538173651926e-05
1.3600000000000001e-08,3.6458729322387716e-05
1.37e-08,3.633704172654739e-05
1.3800000000000001e-08,3.540044740771867e-05
1.39e-08,3.5072791122343504e-05
1.4000000000000001e-08,4.58545129345092e-05
1.41e-08,3.0376743354647177e-05
1.42e-08,1.7112729282649215e-05
1.43e-08,1.3424948273219028e-05
1.44e-08,1.3385448556175559e-05
1.45e-08,1.7721291239641648e-05
1.46e-08,2.060861509342597e-05
1.4700000000000001e-08,1.7915227373463956e-05
1.48e-08,2.4336167651943023e-05
1.4900000000000001e-08,3.0765435588688594e-05
1.5000000000000002e-08,3.1651249932619515e-05
1.51e-08,3.7570365022625917e-05
1.52e-08,3.8962150341323304e-05
1.53e-08,3.4938376465917254e-05
1.54e-08,3.910970856548507e-05
1.55e-08,3.94368772392889e-05
1.56e-08,3.905315043469837e-05
1.57e-08,4.820322858750524e-05
1.58e-08,3.185205644134133e-05
