time (s),P_echo(t),P_echo_std
7.45058059692383e-07,0.999999985249989,8.415021817870105e-17
7.733953253069145e-07,0.9999999838768541,8.17353399154273e-17
8.028103601128028e-07,0.999999982210308,8.252325904466732e-17
8.333441555891002e-07,0.9999999803464393,8.660451244260689e-17
8.650392622697755e-07,0.9999999782702497,8.31926790538084e-17
8.979398490402318e-07,0.9999999757608931,8.556643779299518e-17
9.320917646891022e-07,0.9999999731740775,8.513318722283364e-17
9.675426018010686e-07,0.9999999699869065,8.444266117371777e-17
1.0043417630797639e-06,0.9999999668070093,8.692415290251614e-17
1.0425405301931735e-06,0.999999962960674,8.567440810445459e-17
1.0821921352374783e-06,0.9999999590272565,8.710122408399437e-17
1.123351834918927e-06,0.9999999544653638,8.649770313687834e-17
1.166076987557117e-06,0.9999999496284254,8.727793602074006e-17
1.2104271330169777e-06,0.9999999441978613,8.805125543753058e-17
1.256464075680882e-06,0.9999999382885136,8.610493547940852e-17
1.304251970576464e-06,0.9999999320171494,8.556643779299518e-17
1.3538574127802043e-06,0.9999999250611248,9.087567112012141e-17
1.4053495302213536e-06,0.9999999175579846,8.667564552436705e-17
1.458800080015529e-06,0.9999999095624107,8.9060372124556e-17
1.5142835484622296e-06,0.9999999008584002,8.59616659367706e-17
1.5718772548456036e-06,0.9999998914025746,8.581815721242673e-17
1.6316614591831703e-06,0.9999998814463342,8.933674322215191e-17
1.6937194740725838e-06,0.9999998711732851,9.128167018299423e-17
1.7581377807923523e-06,0.9999998600857648,8.741904837807692e-17
1.8250061498182851e-06,0.9999998482232726,8.695959598366383e-17
1.894417765923621e-06,0.9999998355676976,8.895651159694986e-17
1.9664693580371663e-06,0.9999998219854078,8.53500874144267e-17
2.0412613340404145e-06,0.9999998071104261,8.791115788588557e-17
2.1188979206914718e-06,0.9999997907709389,8.91986647111522e-17
2.199487308870835e-06,0.9999997733005718,8.995547373193812e-17
2.2831418043513584e-06,0.9999997542219691,9.192083470038596e-17
2.3699779843025656e-06,0.9999997335854995,8.8191130435058e-17
2.460116859747389e-06,0.9999997111428041,8.937122951690183e-17
2.5536840441977283e-06,0.9999996874654224,9.302052490790929e-17
2.650809928703829e-06,0.9999996621816918,9.318601254079481e-17
2.7516298635614372e-06,0.9999996354078856,9.235560912961481e-17
2.8562843469299022e-06,0.999999606814326,9.282155029523445e-17
2.964919220624174e-06,0.9999995758432368,8.678223582353618e-17
3.0776858733534204e-06,0.9999995417819323,9.192083470038596e-17
3.1947414516895778e-06,0.9999995052642277,8.95090418262362e-17
3.316249079059798e-06,0.9999994671722804,9.039970099521303e-17
3.442378083067972e-06,0.9999994245239376,9.298739203957133e-17
3.5733042314621246e-06,0.99999937948712,8.992121150493565e-17
3.7092099770764706e-06,0.9999993311894022,8.808624500991796e-17
3.850284712089583e-06,0.999999279027184,9.134916126074183e-17
3.996725031952843e-06,0.9999992233659742,9.348315204169959e-17
4.148735009357094e-06,0.9999991627621082,9.305364597889226e-17
4.306526478619231e-06,0.9999990972827236,8.912954523954708e-17
4.470319330885042e-06,0.9999990245667083,8.981834640567178e-17
4.640341820559702e-06,0.9999989491892,8.981834640567178e-17
4.816830883392886e-06,0.9999988717401694,9.009239234044996e-17
5.000032466661898e-06,0.999998790210923,9.20882985570147e-17
5.1902018719127834e-06,0.9999987054092172,9.073993441833817e-17
5.387604110737172e-06,0.9999986124591169,8.923320436964363e-17
5.592514274080595e-06,0.9999985142884237,9.252228605483322e-17
5.805217915596952e-06,0.9999984139014672,8.780593803024361e-17
6.026011449583332e-06,0.9999983145444543,8.998972291411642e-17
6.255202564049705e-06,0.9999982046378254,8.81212206892831e-17
6.49311064949926e-06,0.9999980928542352,8.822606453444158e-17
6.740067244016702e-06,0.999997974483232,8.902576541171861e-17
6.996416495284934e-06,0.9999978585155126,9.039970099521303e-17
7.262515640173905e-06,0.9999977392613529,9.195435187003235e-17
7.538735502569953e-06,0.9999976234274182,9.026324853857058e-17
7.825461010139423e-06,0.9999974994094876,9.039970099521303e-17
8.12309173074667e-06,0.9999973669789046,8.881784197001253e-17
8.432042429274009e-06,0.9999972243134799,9.087567112012141e-17
8.75274364561947e-06,0.9999970705433312,8.926773066397861e-17
9.085642294678078e-06,0.999996904318156,8.871369750350844e-17
9.43120228914242e-06,0.9999967314918894,9.161862839847216e-17
9.789905185990688e-06,0.999996544362204,9.272190286951956e-17
1.0162250857562964e-05,0.9999963495476545,8.660451244260689e-17
1.0548758188161008e-05,0.9999961520741598,9.225545843057782e-17
1.094996579714227e-05,0.9999959745053355,9.202134958520115e-17
1.136643278951568e-05,0.9999957661075356,9.134916126074183e-17
1.1798739535085564e-05,0.9999955566267458,9.070596850495711e-17
1.2247488477228994e-05,0.9999953384255574,8.881784197001253e-17
1.2713304972434005e-05,0.9999951187763689,9.138288810747368e-17
1.319683816176847e-05,0.9999948854221147,9.242231597047473e-17
1.3698761875494106e-05,0.9999946419565434,8.72426222681228e-17
1.4219775572086273e-05,0.9999944126032103,8.692415290251614e-17
1.476060531296792e-05,0.9999941540202189,8.850504092881809e-17
1.5322004774316684e-05,0.9999938473043777,8.850504092881809e-17
1.5904756297353956e-05,0.9999934636415679,8.798123454738049e-17
1.6509671978580992e-05,0.999993077895474,8.874842590472262e-17
1.7137594801480186e-05,0.999992756063181,9.026324853857058e-17
1.7789399811259243e-05,0.9999924516817367,8.930224360965779e-17
1.8465995334275138e-05,0.9999921180332427,8.836566282512461e-17
1.9168324243836997e-05,0.9999918050625118,8.850504092881809e-17
1.989736527415263e-05,0.9999914877865874,8.574631278190749e-17
2.065413438424831e-05,0.9999911617627192,9.009239234044996e-17
2.1439686173764312e-05,0.999990799786026,8.801625195555204e-17
2.2255115352597702e-05,0.9999904027891784,8.703043884346512e-17
2.310155826644119e-05,0.9999899287404813,8.699502462476853e-17
2.3980194480343773e-05,0.9999894762785363,8.988693621819208e-17
2.489224842249989e-05,0.999989089669611,8.631939393233329e-17
2.583899109055794e-05,0.9999886563530243,8.667564552436705e-17
2.6821741822825653e-05,0.9999881053342239,9.07738876223022e-17
2.7841870136841354e-05,0.9999874606542708,8.805125543753058e-17
2.8900797637872226e-05,0.9999866147374731,8.947460864864881e-17
3.0000000000000008e-05,0.9999860467568985,8.836566282512461e-17
