time (s),P_echo(t),P_echo_std
9.999999999999999e-09,0.9995319061277497,8.542226509110116e-17
1.0433509309670173e-08,0.9995053608960203,8.72426222681228e-17
1.0885811651497463e-08,0.9994450483388698,8.840052795286716e-17
1.1357721720921484e-08,0.9993806115191093,8.881784197001253e-17
1.1850089531187745e-08,0.9993035547333518,9.043378193930605e-17
1.2363801944407293e-08,0.9992180806159663,8.549438183260019e-17
1.289978426898917e-08,0.9991148612025978,8.473409486550036e-17
1.3459001926323536e-08,0.9990026894749241,8.7559933317795e-17
1.4042462189716601e-08,0.9988678636772598,8.639076177745753e-17
1.4651215998709958e-08,0.998723559616412,8.801625195555204e-17
1.5286359852052895e-08,0.9985568945197023,9.005818220352622e-17
1.5949037782736292e-08,0.9983649334406589,8.892186446356281e-17
1.6640443418646045e-08,0.99815750961993,8.574631278190749e-17
1.7361822132548404e-08,0.9979240804104862,8.81212206892831e-17
1.8114473285278143e-08,0.9976597814676613,8.881784197001253e-17
1.889975256617212e-08,0.9973666525552782,8.867895550197894e-17
1.9719074434962036e-08,0.9970490620399042,8.506076425164523e-17
2.0573914669525555e-08,0.9966933498122971,8.940570250931863e-17
2.1465813024085466e-08,0.9962953978186083,8.466133049410183e-17
2.2396376002643545e-08,0.9958593100833237,8.62122313907906e-17
2.3367279752645558e-08,0.9953800101401807,8.588994154719671e-17
2.438027308408953e-08,0.9948564041492974,8.72426222681228e-17
2.543718061951493e-08,0.994285822414886,8.466133049410183e-17
2.653990608054713e-08,0.9936564767813576,8.692415290251614e-17
2.769043571691611e-08,0.9929502609612442,8.95090418262362e-17
2.8890841884126776e-08,0.9921797082576397,8.563843312570935e-17
3.014328677622464e-08,0.991353491552837,9.029738098393442e-17
3.1450026320379825e-08,0.990444373256368,8.926773066397861e-17
3.281341424030556e-08,0.9894637144284778,8.83307839357354e-17
3.4235906295829194e-08,0.9884107881352466,8.642642360014358e-17
3.572006470625303e-08,0.9872779177373593,8.516937561436086e-17
3.7268562765471285e-08,0.9860300696382629,8.766544843940985e-17
3.888418965715719e-08,0.9846535935997099,8.311856529383728e-17
4.05698554786931e-08,0.9831643550847525,8.27470007812096e-17
4.2328596482891893e-08,0.9814925651117875,8.926773066397861e-17
4.416358054695248e-08,0.979695346286215,8.359913027174625e-17
4.607811287849982e-08,0.9777068255891477,8.527784864785347e-17
4.8075641968986204e-08,0.9755732389667509,8.685322334937216e-17
5.015976580517877e-08,0.9732663275658417,8.84702169884856e-17
5.2334238349920944e-08,0.9707153373071107,8.50969834418119e-17
5.460297630383992e-08,0.9678582672083503,8.606914045168026e-17
5.697006616018137e-08,0.9646435514660124,8.631939393233329e-17
5.943977156547793e-08,0.9610539378078143,8.567440810445459e-17
6.201654099930838e-08,0.9570785231767457,8.451561381036868e-17
6.470501578698274e-08,0.9528327002804216,8.263520563790825e-17
6.7510038459584e-08,0.9482426544837012,7.936347579412092e-17
7.043666147642627e-08,0.9431213098182458,8.036665142642833e-17
7.349015632563815e-08,0.9374567691807928,8.093975104253547e-17
7.667602301926621e-08,0.9311482401591742,8.311856529383728e-17
8.000000000000001e-08,0.9239938202700309,8.120581339769892e-17
