time (s),P(t),P_std
1.51e-06,0.02432603543153763,8.168505671170456e-17
1.52e-06,0.024681412056024914,7.946694842710472e-17
1.53e-06,0.024813917040628217,7.845226906178752e-17
1.54e-06,0.024656014636652093,8.236128978343586e-17
1.55e-06,0.023883372274682194,8.05453860586267e-17
1.56e-06,0.023079432206921102,8.150882121683646e-17
1.57e-06,0.022190163333174907,7.638248345135858e-17
1.5800000000000001e-06,0.021422863461312815,7.66777603626068e-17
1.59e-06,0.020639624901136706,7.818997388068908e-17
1.6e-06,0.019937333294116844,8.03155113312552e-17
1.61e-06,0.019412638048210213,7.977656108715413e-17
1.62e-06,0.018895585267748292,8.00849767776001e-17
1.63e-06,0.018400437191780583,7.811111357431005e-17
1.64e-06,0.018012433494933363,7.782127541868275e-17
1.65e-06,0.018000454166926236,8.064734228432652e-17
1.66e-06,0.017819672602630815,7.567997663813321e-17
1.67e-06,0.017077243722513163,8.128167125020237e-17
1.68e-06,0.01570945797972177,7.982804644978159e-17
1.6900000000000001e-06,0.01451735148501684,7.78740535023478e-17
1.7e-06,0.013985667984846097,7.959610006185134e-17
1.71e-06,0.014686400575050555,7.771561172376095e-17
1.72e-06,0.01630519065812489,7.982804644978159e-17
1.73e-06,0.018666696870004357,7.918207332652912e-17
1.74e-06,0.02132968218530148,7.818997388068908e-17
1.75e-06,0.023750931503882085,7.876587032160195e-17
1.76e-06,0.025680281778844415,8.04433006106855e-17
1.77e-06,0.02695917477474268,7.954446457145965e-17
1.7800000000000001e-06,0.027663345686118637,8.057088721046358e-17
1.79e-06,0.028313469103913594,8.069827209191888e-17
1.8000000000000001e-06,0.029192533472407762,8.112988461681563e-17
1.81e-06,0.03004264166057553,7.993091768634081e-17
1.82e-06,0.030392408382931738,7.884407573916694e-17
1.83e-06,0.030336084786208004,7.936347579412092e-17
1.84e-06,0.02974660878904755,7.944109290391274e-17
1.85e-06,0.028934480566590492,7.863535511955984e-17
1.86e-06,0.027333955870174675,7.795315362787196e-17
1.87e-06,0.02568720091366438,8.092705958796235e-17
1.88e-06,0.023885427296846715,7.782127541868275e-17
1.8900000000000001e-06,0.021226293296176733,8.03155113312552e-17
1.9e-06,0.018073424164916183,7.990521229327011e-17
1.91e-06,0.014318925593299735,7.729151245013876e-17
1.9200000000000003e-06,0.010250366546657185,7.83998802285249e-17
1.93e-06,0.006095762180092552,7.540803908382797e-17
1.94e-06,0.0038644631169471415,7.871369020966661e-17
1.95e-06,0.005874414993379337,8.03155113312552e-17
1.96e-06,0.009795128657838732,7.66777603626068e-17
1.97e-06,0.013908693729938207,7.931168885497247e-17
1.98e-06,0.017630781811591043,8.077460659307139e-17
1.99e-06,0.02077725004265239,8.248590975149166e-17
2e-06,0.023271909154750997,7.928578270080921e-17
2.0100000000000002e-06,0.024524337938321438,7.918207332652912e-17
2.02e-06,0.024613638628824503,7.747734153070907e-17
2.03e-06,0.023616512735459772,8.003365669749631e-17
2.04e-06,0.02229549581587006,7.959610006185134e-17
2.05e-06,0.020065729409344073,7.905224527834553e-17
2.06e-06,0.017219288548339956,7.818997388068908e-17
2.07e-06,0.014872765340823562,7.715850338160936e-17
2.08e-06,0.013627524060773144,7.82425032610722e-17
2.09e-06,0.014056277549247318,7.832123127353765e-17
2.1000000000000002e-06,0.015867130402884712,8.023874007458557e-17
2.11e-06,0.017909249513432663,8.335303279852593e-17
2.12e-06,0.019934428840025525,7.834745636426877e-17
2.13e-06,0.021465476476387003,8.112988461681563e-17
2.14e-06,0.022606494834957358,8.231138896711101e-17
2.15e-06,0.02267991524684721,7.768917334513442e-17
2.16e-06,0.022134462803219773,8.112988461681563e-17
2.17e-06,0.020730837727226083,8.188600426433445e-17
2.18e-06,0.01873913937443611,8.039220927456254e-17
2.19e-06,0.01642002177729188,8.08254562088053e-17
2.2e-06,0.01343131152432941,7.659734318226237e-17
2.21e-06,0.010607324387954739,8.03155113312552e-17
2.22e-06,0.008275244174152556,7.941522896283854e-17
2.2300000000000002e-06,0.00667861309069022,7.834745636426877e-17
2.24e-06,0.005192056613806584,7.771561172376095e-17
2.25e-06,0.0041929755912596635,7.887012697917711e-17
2.26e-06,0.0034615892577488172,7.753035374459599e-17
2.27e-06,0.003480191472243934,7.913016766816421e-17
2.28e-06,0.0042079112076571345,7.784766893323461e-17
2.29e-06,0.005056377361979382,8.04433006106855e-17
2.3e-06,0.00635752880093349,7.918207332652912e-17
2.31e-06,0.007988948559679934,7.742429301950445e-17
2.3200000000000002e-06,0.010044678445430921,7.910420206691776e-17
2.33e-06,0.012184390311540682,8.20113464535166e-17
2.34e-06,0.01449109090661892,7.915612475190917e-17
2.35e-06,0.01683430334677853,7.889616961715914e-17
2.36e-06,0.019275392300340925,7.805849577542928e-17
2.37e-06,0.021176791486029672,7.871369020966661e-17
2.38e-06,0.023048621139101742,7.915612475190917e-17
2.39e-06,0.024622153026955782,8.023874007458557e-17
2.4e-06,0.025901863394993636,7.982804644978159e-17
2.4100000000000002e-06,0.026965605952310907,7.900025431890488e-17
2.42e-06,0.027608490560628432,7.683834223558906e-17
2.43e-06,0.029084400154435218,7.768917334513442e-17
2.44e-06,0.030177438803851472,7.747734153070907e-17
2.4500000000000003e-06,0.03124380011526153,7.972504247597728e-17
2.46e-06,0.032126398017781374,7.982804644978159e-17
2.47e-06,0.032341401496343174,7.813740918642484e-17
2.48e-06,0.031472974315572895,7.860922607576835e-17
2.49e-06,0.03058168124097042,7.900025431890488e-17
2.5e-06,0.030084215525846458,7.734465203183738e-17
2.51e-06,0.029666006213568775,7.915612475190917e-17
2.52e-06,0.029249404992026554,7.795315362787196e-17
2.53e-06,0.028750861389370903,8.233634315563857e-17
2.5400000000000002e-06,0.028918586825659058,7.936347579412092e-17
2.55e-06,0.0297463471014052,7.987949862814951e-17
2.56e-06,0.029986513662739727,7.705193081226271e-17
2.57e-06,0.030659232158578915,8.186091279622146e-17
2.58e-06,0.031185743308651828,7.845226906178752e-17
2.59e-06,0.03150463966683629,7.774204111127002e-17
2.6e-06,0.032042318893911896,7.998230368823245e-17
2.61e-06,0.031796553631824626,7.790042913511167e-17
2.62e-06,0.030868548301546547,7.97508059416606e-17
2.6300000000000002e-06,0.029276438287107843,7.985377668298796e-17
2.64e-06,0.026949737802157894,7.998230368823245e-17
2.65e-06,0.024580026486460512,8.034108544791393e-17
2.66e-06,0.02159397243171611,7.879194741893008e-17
2.67e-06,0.018267979869629893,7.900025431890488e-17
2.68e-06,0.015220315180692237,7.993091768634081e-17
2.69e-06,0.011363425136371392,7.920801340038683e-17
2.7e-06,0.0074872325754679805,7.834745636426877e-17
2.71e-06,0.00416864743046549,7.803217357074378e-17
2.7200000000000002e-06,0.0038069821382464264,7.847845036372169e-17
2.73e-06,0.0065914805001209675,7.790042913511167e-17
2.74e-06,0.010215401015611981,7.83998802285249e-17
2.75e-06,0.013866369024416417,7.972504247597728e-17
2.7600000000000003e-06,0.017389274938867237,7.763626957778363e-17
2.77e-06,0.020034619571800003,7.707858776888524e-17
2.78e-06,0.022348293665489332,7.83998802285249e-17
2.79e-06,0.024697625592626272,7.774204111127002e-17
2.8e-06,0.027081414664513002,7.808480910696226e-17
2.81e-06,0.028698831665758064,8.128167125020237e-17
2.82e-06,0.029656518593531366,7.681160190339402e-17
2.83e-06,0.029894402661335195,7.887012697917711e-17
