N_traj,T2,T2_error,T2_lower,T2_upper,ci_width_pct,R2
500,0.10018460798138094,,0.0911861784103155,0.10918303755244639,17.963696724226903,0.9903166902743699
1000,0.0998861487293687,,0.09339296513842527,0.10637933232031213,13.001169178193164,0.9972586511878502
2000,0.10578458626823656,,0.10070586839166784,0.11086330414480527,9.60199979171007,0.9995956446587626
3000,0.09944982966980438,,0.09539221161990831,0.10350744771970045,8.160130717907249,0.9990034553119537
5000,0.09893674550214267,,0.0955780214912163,0.10229546951306903,6.789639165669999,0.9998224678258062
