time (s),P_echo(t),P_echo_std
4.000000000000001e-08,0.999999999921832,7.826875473077951e-17
4.0822443251974434e-08,0.9999999999196534,7.913016766816421e-17
4.166179682651674e-08,0.999999999916774,7.83081154346659e-17
4.2518408418144195e-08,0.999999999913546,7.69985892130607e-17
4.339263287034908e-08,0.9999999999097716,7.947987303456223e-17
4.4284832322589555e-08,0.9999999999058005,7.909121606961004e-17
4.519537636030288e-08,0.9999999999023714,7.873978458804285e-17
4.612464216800227e-08,0.9999999998981142,7.846536080473419e-17
4.707301468552239e-08,0.9999999998933552,7.707858776888524e-17
4.804088676747742e-08,0.9999999998876592,7.873978458804285e-17
4.902865934599691e-08,0.9999999998834916,7.767595078128322e-17
5.003674159680851e-08,0.9999999998782565,7.854386543748145e-17
5.106555110873559e-08,0.9999999998727992,7.771561172376095e-17
5.2115514056678964e-08,0.9999999998664773,7.916910010233677e-17
5.3187065378156214e-08,0.9999999998618414,7.715850338160936e-17
5.42806489534709e-08,0.9999999998562191,7.862229168311791e-17
5.539671778958527e-08,0.9999999998500928,7.842607901964165e-17
5.653573420777468e-08,0.999999999844228,7.739775512908664e-17
5.7698170035139664e-08,0.9999999998388499,7.924690759050411e-17
5.888450680005651e-08,0.9999999998329637,7.881801588859915e-17
6.009523593164523e-08,0.9999999998261702,7.771561172376095e-17
6.133085896333994e-08,0.9999999998211746,7.735793122363097e-17
6.259188774064478e-08,0.999999999815003,8.051987683041493e-17
6.387884463316065e-08,0.9999999998076086,7.909121606961004e-17
6.519226275097216e-08,0.99999999980211,7.771561172376095e-17
6.65326861654842e-08,0.9999999997956798,7.967349055175335e-17
6.790067013479757e-08,0.9999999997881245,7.822937422276162e-17
6.929678133372008e-08,0.999999999782624,7.893521746395322e-17
7.072159808850671e-08,0.9999999997759,7.916910010233677e-17
7.217571061642521e-08,0.9999999997679972,7.779487294958742e-17
7.365972127024851e-08,0.9999999997615683,7.771561172376095e-17
7.517424478777434e-08,0.999999999753833,7.743755855425775e-17
7.671990854647383e-08,0.9999999997463134,7.755684626330686e-17
7.829735282337723e-08,0.9999999997393225,7.870063977598498e-17
7.990723106030342e-08,0.9999999997309085,7.971215762054348e-17
8.155021013454113e-08,0.9999999997242065,7.870063977598498e-17
8.322697063509721e-08,0.9999999997163556,7.870063977598498e-17
8.493820714462495e-08,0.9999999997092267,7.803217357074378e-17
8.668462852714753e-08,0.9999999997026064,7.826875473077951e-17
8.846695822169891e-08,0.9999999996955814,7.775525243622074e-17
9.028593454200241e-08,0.9999999996893403,7.763626957778363e-17
9.214231098230929e-08,0.9999999996807096,7.727822184519996e-17
9.403685652952734e-08,0.9999999996726584,7.723833630868742e-17
9.597035598176727e-08,0.9999999996629176,7.799267360690134e-17
