time (s),P_echo(t),P_echo_std
2e-06,0.999999964762859,8.363598243587769e-17
2.10383034743932e-06,0.9999999597484743,8.484312441289354e-17
2.2130510654033256e-06,0.9999999534521093,8.867895550197894e-17
2.3279419959142134e-06,0.9999999463653362,8.599750569898517e-17
2.448797509041392e-06,0.9999999376328969,8.860943063397871e-17
2.575927257127547e-06,0.9999999271885595,8.429656649479352e-17
2.7096569681705313e-06,0.9999999153348765,8.527784864785347e-17
2.850329280393792e-06,0.9999999011400563,8.41135913137761e-17
2.998304620143663e-06,0.9999998844866619,8.885252966591417e-17
3.153962125362881e-06,0.9999998657071468,8.815618249216202e-17
3.3177006170063236e-06,0.999999843844554,9.315293853352738e-17
3.4899396208880306e-06,0.9999998185551274,8.826098480675078e-17
3.6711204425775576e-06,0.999999789335195,8.763029084888848e-17
3.861707298099759e-06,0.9999997556353287,8.930224360965779e-17
4.062188503335087e-06,0.99999971687637,9.084175595897752e-17
4.273077725167735e-06,0.9999996726243361,8.748951920643198e-17
4.494915297587428e-06,0.9999996232592119,8.930224360965779e-17
4.7282696061168365e-06,0.9999995674485308,9.384504488620565e-17
4.9737385441117715e-06,0.9999995037733364,9.298739203957133e-17
5.2319510446655035e-06,0.999999431782935,9.18537636701491e-17
5.50356869204207e-06,0.9999993491336189,8.867895550197894e-17
5.789287416767517e-06,0.999999253620218,8.964664227922347e-17
6.089839278722045e-06,0.9999991460154092,8.84702169884856e-17
6.4059943428016965e-06,0.9999990209740756,9.118033989808778e-17
6.738562651955407e-06,0.9999988796204075,8.981834640567178e-17
7.088396302652486e-06,0.9999987199042593,9.195435187003235e-17
7.456391628098486e-06,0.9999985395034432,8.916411167297361e-17
7.843491494793023e-06,0.9999983336443058,8.805125543753058e-17
8.250687718313878e-06,0.9999980971523709,8.780593803024361e-17
8.67902360451681e-06,0.9999978268604153,9.238896857051836e-17
9.129596622662331e-06,0.9999975141268002,9.084175595897752e-17
9.603561217318268e-06,0.9999971577985336,9.472746590555987e-17
1.0102131766242737e-05,0.9999967559688607,8.998972291411642e-17
1.0626585691826104e-05,0.9999962976583131,9.01265894919341e-17
1.1178266734064112e-05,0.9999957764081281,9.16522560848306e-17
1.1758588393447748e-05,0.9999951716053299,8.78410253195682e-17
1.2369037552591566e-05,0.9999944719568272,9.050190532519211e-17
1.301117828587933e-05,0.9999936999247618,8.871369750350844e-17
1.3686655866888227e-05,0.9999928311485742,8.9060372124556e-17
1.4397200983858934e-05,0.9999918343736579,8.878314072158114e-17
1.5144634174012833e-05,0.9999907218590817,8.720729421554322e-17
1.593087048807741e-05,0.9999894866815195,9.019494489765867e-17
1.6757924396971355e-05,0.9999880932341509,8.974970417447165e-17
1.762791495322102e-05,0.9999865294882485,8.717195184561534e-17
1.8543071220332883e-05,0.9999847735075329,8.695959598366383e-17
1.9505737984032493e-05,0.9999828252049847,8.7559933317795e-17
2.0518381760003715e-05,0.9999806809184336,8.653332088726037e-17
2.1583597113520568e-05,0.9999782712634602,8.985264785676209e-17
2.2704113307164142e-05,0.99997562050255,8.8191130435058e-17
2.3882801293656416e-05,0.9999727711125397,8.829589126839102e-17
2.5122681071728716e-05,0.999969545841642,8.7559933317795e-17
2.642692942387113e-05,0.9999658705989998,8.791115788588557e-17
2.7798888055788595e-05,0.9999617330624927,9.060399436534878e-17
2.9242072158418186e-05,0.9999572560249186,9.039970099521303e-17
3.0760179414445306e-05,0.9999521541084969,9.070596850495711e-17
3.2357099472394143e-05,0.9999466493913228,8.727793602074006e-17
3.403692391256774e-05,0.9999406556769114,8.614071563282454e-17
3.580395673037155e-05,0.9999342435333999,8.964664227922347e-17
3.7662725363879983e-05,0.9999276221585428,8.72426222681228e-17
3.961799229390166e-05,0.9999202672732955,8.968100940422725e-17
4.167476724626372e-05,0.999912048556905,8.738379165215087e-17
4.3838320027579906e-05,0.9999022503982342,9.019494489765867e-17
