time (s),P_echo(t),P_echo_std
1e-06,0.03144249849264324,7.982804644978159e-17
1.03995283805053e-06,0.026528418031187752,7.647655886031456e-17
1.0815019053693542e-06,0.02616304313686639,7.826875473077951e-17
1.1247109758459158e-06,0.0241762460496482,8.143317496275171e-17
1.1696463713175414e-06,0.019044796307525792,8.218650437240237e-17
1.216377063367184e-06,0.018680070071103054,7.846536080473419e-17
1.2649747791882724e-06,0.02587534247191917,7.826875473077951e-17
1.3155141116791866e-06,0.025766661206582987,8.059638029359178e-17
1.368072633936295e-06,0.018708305163097814,7.83867775493612e-17
1.422731018321314e-06,0.00995983740087679,8.090167070589818e-17
1.4795731602857712e-06,0.005648582317405157,7.967349055175335e-17
1.538686307142583e-06,0.021344329528593435,7.901325526597207e-17
1.6001611919824188e-06,0.024131551831075508,8.322971118520123e-17
1.6640921729404355e-06,0.007007155160306011,7.747734153070907e-17
1.7305773780270831e-06,0.017751935548534287,8.093975104253547e-17
1.7997188557453102e-06,0.026973474505317584,7.574780848525225e-17
1.8716227317253882e-06,0.030510181479925888,8.071099952234136e-17
1.9463993716177073e-06,0.01960374567418185,7.928578270080921e-17
2.024163550493603e-06,0.014116299069011106,7.924690759050411e-17
2.10503462901426e-06,0.018164927112257347,7.998230368823245e-17
2.1891367366380295e-06,0.015677533490961,7.542165924813733e-17
2.2765989621473945e-06,0.013715243103189036,7.799267360690134e-17
2.367555551788074e-06,0.009673652445797477,8.071099952234136e-17
2.462146115324302e-06,0.00799144157101873,7.893521746395322e-17
2.5605158403265957e-06,0.014946274955394469,7.679822824578357e-17
2.662815715020981e-06,0.01656209469610622,8.051987683041493e-17
2.769202760041621e-06,0.0350464534343695,7.870063977598498e-17
2.8798402694426507e-06,0.018054153772518795,7.811111357431005e-17
2.994898061339088e-06,0.026673755298034563,7.862229168311791e-17
3.114552738561622e-06,0.04939167428956166,7.924690759050411e-17
3.2389879597252096e-06,0.04178960699079219,8.021313332746002e-17
3.368394721127728e-06,0.037814791351035444,7.862229168311791e-17
3.5029716499112047e-06,0.02202502568679631,7.88571024349583e-17
3.642925308935713e-06,0.01682612934387979,8.055813764361257e-17
3.788470513833799e-06,0.03192420252826031,7.88571024349583e-17
3.939830662732217e-06,0.021494725577004,7.83867775493612e-17
4.0972380791468705e-06,0.019089759716822124,7.517611873999552e-17
4.2609343685774904e-06,0.007341953490084971,7.881801588859915e-17
4.431170789349205e-06,0.0316418258071228,8.025154038416283e-17
4.6082086382703225e-06,0.018008830702709668,7.811111357431005e-17
4.7923196516981915e-06,0.006851692223965797,8.093975104253547e-17
4.9837864226288725e-06,0.02254501529809879,7.986663869107378e-17
5.182902834450594e-06,0.03822691504506719,8.090167070589818e-17
5.389974512027033e-06,0.009417999404414044,7.9557376585922e-17
5.605319290802534e-06,0.009284260070682665,8.181070677322451e-17
5.829267704649492e-06,0.03288597538485091,8.097781347165198e-17
6.062163493206539e-06,0.019721492372720098,7.916910010233677e-17
6.304364129486456e-06,0.02078015451654529,7.897424600402098e-17
6.556241368563413e-06,0.02635263715618755,8.078732199757252e-17
6.818181818181813e-06,0.011064286564053023,7.767595078128322e-17
