N_traj,T2,T2_error,T2_lower,T2_upper,ci_width_pct,R2
500,201.76911157024793,,183.64651592742476,219.8917072130711,17.9636967242269,
1000,201.76911157024793,,188.6529397979553,214.88528334254056,13.00116917819317,
2000,201.76911157024793,,192.0821767338927,211.45604640660315,9.601999791710059,
3000,201.76911157024793,,193.53679994400176,210.0014231964941,8.160130717907247,
5000,201.76911157024793,,194.91941425854895,208.6188088819469,6.789639165669999,
