time (s),P(t),P_std
0.0,1.0,0.0
5e-09,0.9986163026009924,8.723084784033881e-17
1e-08,0.99454200643114,8.858624355242668e-17
1.5000000000000002e-08,0.9877987103134391,8.723084784033881e-17
2e-08,0.9784898578399213,8.635508522760763e-17
2.5e-08,0.9667420026960568,8.41380109953223e-17
3.0000000000000004e-08,0.9526521589150259,8.08254562088053e-17
3.5e-08,0.9363874880009668,8.20113464535166e-17
4e-08,0.9180612112470083,8.236128978343586e-17
4.5e-08,0.8979096897134522,8.20113464535166e-17
5e-08,0.8760427859127324,8.021313332746002e-17
5.5e-08,0.8526813619252691,7.78740535023478e-17
6.000000000000001e-08,0.8278735230465308,8.028992906867558e-17
6.5e-08,0.8017790652012433,8.021313332746002e-17
7e-08,0.774549059267149,7.920801340038683e-17
7.5e-08,0.7463689682761915,7.611305586242616e-17
8e-08,0.7174526755813085,7.592388766969605e-17
8.500000000000001e-08,0.6880515932555268,7.790042913511167e-17
9e-08,0.6582823557566782,7.739775512908664e-17
9.5e-08,0.6284626613770156,8.018751840318324e-17
1e-07,0.5985486660963791,7.75833297355704e-17
1.05e-07,0.5687420109846454,8.051987683041493e-17
1.1e-07,0.5390704199090566,7.944109290391274e-17
1.15e-07,0.5097772739761196,7.97508059416606e-17
1.2000000000000002e-07,0.4809135089670842,7.868758717787283e-17
1.25e-07,0.4522832320417729,7.944109290391274e-17
1.3e-07,0.42409022457587764,7.808480910696226e-17
1.35e-07,0.39663179326141224,8.069827209191888e-17
1.4e-07,0.3699433533729192,7.980230792051356e-17
1.4500000000000001e-07,0.34394439371840746,8.13069414734929e-17
1.5e-07,0.3188606075808177,8.03155113312552e-17
1.55e-07,0.29454143539753397,7.792679584060017e-17
1.6e-07,0.2712361199330623,7.753035374459599e-17
1.65e-07,0.2487797743840312,8.000798431297135e-17
1.7000000000000001e-07,0.22718496079128994,7.905224527834553e-17
1.75e-07,0.2065112451888099,7.739775512908664e-17
1.8e-07,0.18667319019522224,7.829499739865214e-17
1.85e-07,0.16794186469974068,7.918207332652912e-17
1.9e-07,0.150227760967272,7.928578270080921e-17
1.95e-07,0.13353059145075122,8.003365669749631e-17
2e-07,0.11774661913661953,7.871369020966661e-17
2.05e-07,0.1028274467268633,7.805849577542928e-17
2.1e-07,0.08877078163354249,8.067281120720505e-17
2.15e-07,0.07560130715919976,7.962190524977581e-17
2.2e-07,0.06330822819851001,7.962190524977581e-17
2.2500000000000002e-07,0.05173254358624051,8.013626399180835e-17
2.3e-07,0.04085059332426492,7.959610006185134e-17
2.35e-07,0.03067599324382703,8.105388470822197e-17
2.4000000000000003e-07,0.02122048287884417,7.915612475190917e-17
2.45e-07,0.012463448354082035,7.982804644978159e-17
2.5e-07,0.004625812663520819,7.931168885497247e-17
2.55e-07,0.0027793906526035945,8.023874007458557e-17
2.6e-07,0.009300165950051611,7.721173450445131e-17
2.65e-07,0.01527669384073711,7.853078678191872e-17
2.7e-07,0.02064181263146888,7.763626957778363e-17
2.75e-07,0.025316007415352476,7.933758654998266e-17
2.8e-07,0.029545481056049323,7.959610006185134e-17
2.85e-07,0.033220134095479,7.99566148153398e-17
2.9000000000000003e-07,0.03653849613946519,7.897424600402098e-17
2.95e-07,0.03940994293375671,8.196123257993793e-17
3e-07,0.04182246888544051,7.855694191562709e-17
3.05e-07,0.04404251608342486,8.090167070589818e-17
3.1e-07,0.04602873817124907,7.969927068203545e-17
3.15e-07,0.04775144787546047,7.887012697917711e-17
3.2e-07,0.04923707833876013,7.595094054341032e-17
3.25e-07,0.05051396582227499,7.829499739865214e-17
3.3e-07,0.05159553923840509,7.920801340038683e-17
3.35e-07,0.05225386616974485,8.206142972319446e-17
3.4000000000000003e-07,0.05276587119983683,7.850462293418876e-17
3.4500000000000003e-07,0.053049615452864,7.969927068203545e-17
3.5e-07,0.053048231420293517,8.168505671170456e-17
3.55e-07,0.05270966181223918,7.980230792051356e-17
3.6e-07,0.05222434819071961,7.627482662061554e-17
3.65e-07,0.051414693272082215,7.913016766816421e-17
3.7e-07,0.05045839159725775,8.05453860586267e-17
3.75e-07,0.049373414386257634,7.913016766816421e-17
3.8e-07,0.04815643580799508,7.884407573916694e-17
3.85e-07,0.0469177128263716,7.707858776888524e-17
3.9e-07,0.04557451923389868,7.486120054813177e-17
3.9500000000000003e-07,0.04432467836975975,8.051987683041493e-17
4e-07,0.04301160413643824,8.011062448899506e-17
4.05e-07,0.04169045723725796,7.811111357431005e-17
4.1e-07,0.040305051120133335,8.059638029359178e-17
4.15e-07,0.03899861189784642,7.876587032160195e-17
4.2e-07,0.03758686964745514,7.858308834401479e-17
4.25e-07,0.03608526235705789,8.092705958796235e-17
4.3e-07,0.0346409337962491,7.969927068203545e-17
4.35e-07,0.03321190184068882,8.000798431297135e-17
4.4e-07,0.03171843586577177,8.097781347165198e-17
4.4500000000000003e-07,0.030215020574049564,7.944109290391274e-17
4.5000000000000003e-07,0.028737432644534815,7.771561172376095e-17
4.55e-07,0.027371669819429262,7.850462293418876e-17
4.6e-07,0.02619275994939891,8.092705958796235e-17
4.65e-07,0.024967733151580896,7.797950250597032e-17
4.7e-07,0.02373835390611399,8.095244050738454e-17
4.75e-07,0.022500949316325854,7.845226906178752e-17
4.800000000000001e-07,0.021098821014888507,7.860922607576835e-17
4.85e-07,0.019772740487348492,8.057088721046358e-17
4.9e-07,0.01861459761910586,8.1534021038498e-17
4.95e-07,0.017777652817901918,8.278423227950804e-17
5e-07,0.01700109217508936,7.913016766816421e-17
5.05e-07,0.016291614561604058,8.221149646796937e-17
5.1e-07,0.01575162214201574,7.99566148153398e-17
5.15e-07,0.01541273956030467,7.889616961715914e-17
5.2e-07,0.015264397600110542,8.17353399154273e-17
5.250000000000001e-07,0.015373927593067233,7.884407573916694e-17
5.3e-07,0.015745958737577403,7.946694842710472e-17
5.35e-07,0.016154462839579692,7.707858776888524e-17
5.4e-07,0.016644106890858743,7.734465203183738e-17
5.45e-07,0.01738981713411576,7.998230368823245e-17
5.5e-07,0.01835997040825607,7.697190455129483e-17
5.55e-07,0.01952710150173534,7.850462293418876e-17
5.6e-07,0.0206933107999027,8.256059144153042e-17
5.65e-07,0.021695523906368225,7.957028650512844e-17
5.7e-07,0.022579169289838805,8.241116038430201e-17
5.75e-07,0.023402875291693066,7.766272596620801e-17
5.800000000000001e-07,0.024240526060625815,7.860922607576835e-17
5.85e-07,0.02491308019437354,7.92339449818314e-17
5.9e-07,0.0257110906016424,7.887012697917711e-17
5.95e-07,0.02643122167681891,7.962190524977581e-17
6e-07,0.027255929811987493,8.102853556461275e-17
6.05e-07,0.02790992088601522,7.920801340038683e-17
6.1e-07,0.028605544320859003,7.982804644978159e-17
6.15e-07,0.029275316465461894,8.036665142642833e-17
6.2e-07,0.029719301722166795,7.920801340038683e-17
6.25e-07,0.03001627919354706,7.910420206691776e-17
6.3e-07,0.03016137460196609,8.057088721046358e-17
6.350000000000001e-07,0.030153966956218612,7.910420206691776e-17
6.4e-07,0.030033331508694246,7.747734153070907e-17
6.45e-07,0.0297227471270067,7.83998802285249e-17
6.5e-07,0.02931436709684788,7.670454735394362e-17
6.55e-07,0.028784687383400915,7.753035374459599e-17
6.6e-07,0.0278660293820502,7.834745636426877e-17
6.65e-07,0.026698677885086248,7.86614754840469e-17
6.7e-07,0.025418647616507452,7.897424600402098e-17
6.75e-07,0.024018003974136008,8.193616414913901e-17
6.800000000000001e-07,0.022482167493851637,7.915612475190917e-17
6.85e-07,0.020866333701226068,7.889616961715914e-17
6.900000000000001e-07,0.019172931115629694,8.018751840318324e-17
6.95e-07,0.017512732908688006,7.721173450445131e-17
7e-07,0.01576113851074233,7.990521229327011e-17
7.05e-07,0.013951672346498578,7.850462293418876e-17
7.1e-07,0.012160904063459082,7.718512353192064e-17
7.15e-07,0.010478710636222547,7.69985892130607e-17
7.2e-07,0.00887387891013539,7.933758654998266e-17
7.25e-07,0.007689254197806708,8.064734228432652e-17
7.3e-07,0.007259147317941751,7.818997388068908e-17
7.350000000000001e-07,0.0075812403527818215,7.597798378462457e-17
7.4e-07,0.008471185512647174,7.97508059416606e-17
7.450000000000001e-07,0.009833098033165117,7.982804644978159e-17
7.5e-07,0.01141835883720736,7.884407573916694e-17
7.55e-07,0.013020776659955786,7.931168885497247e-17
7.6e-07,0.014581170353425807,7.784766893323461e-17
7.65e-07,0.016037514096349046,8.263520563790825e-17
7.7e-07,0.01733650647567584,7.993091768634081e-17
7.75e-07,0.01830625109170034,7.936347579412092e-17
7.8e-07,0.019004651196248667,7.873978458804285e-17
7.85e-07,0.019664772225273956,7.832123127353765e-17
7.900000000000001e-07,0.020080177054456888,7.805849577542928e-17
7.95e-07,0.02035282564393825,7.962190524977581e-17
8e-07,0.020573273172858612,8.018751840318324e-17
8.05e-07,0.020645409021943027,8.018751840318324e-17
8.1e-07,0.020405597770364266,7.915612475190917e-17
8.15e-07,0.020237216751395577,7.99566148153398e-17
8.2e-07,0.020111796786915614,7.771561172376095e-17
8.25e-07,0.019936923942768397,7.737120813632182e-17
8.3e-07,0.01974569836169658,7.972504247597728e-17
8.35e-07,0.019469795812320296,8.021313332746002e-17
8.4e-07,0.019174685300119242,8.196123257993793e-17
8.450000000000001e-07,0.018681320853236462,8.049435951814986e-17
8.5e-07,0.01808421535413195,7.881801588859915e-17
8.55e-07,0.017547561868376423,7.713187404401502e-17
8.6e-07,0.017184671339479724,8.023874007458557e-17
8.65e-07,0.016826206196498748,8.110455922690037e-17
8.7e-07,0.016669121831727907,7.881801588859915e-17
8.75e-07,0.016481527899877873,8.168505671170456e-17
8.8e-07,0.016377764999707042,7.868758717787283e-17
8.85e-07,0.01624832821350886,8.057088721046358e-17
8.900000000000001e-07,0.01616182864611228,8.021313332746002e-17
8.95e-07,0.01598015998333984,8.128167125020237e-17
9.000000000000001e-07,0.01587527010610211,8.160957381551697e-17
9.05e-07,0.015961608860614606,7.745082181693175e-17
9.1e-07,0.016132167465836716,8.03155113312552e-17
9.15e-07,0.016477187071916127,8.150882121683646e-17
9.2e-07,0.016541961298149242,8.005932084973443e-17
9.25e-07,0.01652576428204079,7.951863425268428e-17
9.3e-07,0.01628616767101736,8.023874007458557e-17
9.35e-07,0.01589059641738476,8.115520210365965e-17
9.4e-07,0.01524897625067335,8.05453860586267e-17
9.450000000000001e-07,0.014754852402376915,8.049435951814986e-17
9.5e-07,0.014183731958609384,7.931168885497247e-17
9.55e-07,0.013528374133386707,7.959610006185134e-17
9.600000000000001e-07,0.013063081605456444,7.993091768634081e-17
9.65e-07,0.012465093198927687,7.643625500567854e-17
9.7e-07,0.011805987546096786,7.771561172376095e-17
9.75e-07,0.010989346397583423,8.018751840318324e-17
9.8e-07,0.010171496106354799,7.964770207703612e-17
9.85e-07,0.00928192479600902,7.868758717787283e-17
9.9e-07,0.008507582483877212,8.092705958796235e-17
9.95e-07,0.008049410844190662,7.747734153070907e-17
1e-06,0.007571963225597978,7.776846151682843e-17
1.0050000000000001e-06,0.007293042723172694,8.313092217568566e-17
1.01e-06,0.0070908018474435735,8.087627385369305e-17
1.015e-06,0.006857243496350871,7.876587032160195e-17
1.02e-06,0.006656770116379271,8.026433865238615e-17
1.025e-06,0.006507843002460422,8.000798431297135e-17
1.03e-06,0.006337641904390189,7.776846151682843e-17
1.035e-06,0.006337184354520397,7.969927068203545e-17
1.04e-06,0.006274015471074342,7.985377668298796e-17
1.045e-06,0.006195396479597167,7.826875473077951e-17
1.0500000000000001e-06,0.006060634585252457,7.829499739865214e-17
1.055e-06,0.006239686195694458,7.750385217016096e-17
1.06e-06,0.006473365207804875,7.731808680624463e-17
1.065e-06,0.006821069004697351,7.731808680624463e-17
1.07e-06,0.007199248098195429,7.782127541868275e-17
1.075e-06,0.00769623409528131,7.936347579412092e-17
1.08e-06,0.00823650202185274,7.715850338160936e-17
1.085e-06,0.008681856164492876,7.713187404401502e-17
1.09e-06,0.009111890189081711,7.845226906178752e-17
1.095e-06,0.009514038457352646,7.670454735394362e-17
1.1e-06,0.009855916910289047,7.871369020966661e-17
1.105e-06,0.010022595819341536,7.837367267966345e-17
1.11e-06,0.010198466578593142,8.067281120720505e-17
1.1150000000000001e-06,0.010383995674096681,8.018751840318324e-17
1.12e-06,0.010576219554623121,7.913016766816421e-17
1.125e-06,0.010735241103343049,8.102853556461275e-17
1.13e-06,0.010965226859413382,7.962190524977581e-17
1.135e-06,0.011248594783901235,7.805849577542928e-17
1.14e-06,0.011382328665370943,8.087627385369305e-17
1.145e-06,0.011536051988156553,7.726492895409875e-17
1.15e-06,0.011765890311171638,7.910420206691776e-17
1.155e-06,0.011991410645840594,7.665096401009793e-17
1.1600000000000001e-06,0.012277440900581926,8.046883411414097e-17
1.165e-06,0.012726823393861364,7.938935659565482e-17
1.17e-06,0.01318489538993812,8.077460659307139e-17
1.175e-06,0.013681037920789068,7.938935659565482e-17
1.18e-06,0.014126565663357519,7.842607901964165e-17
1.185e-06,0.01483958034482055,7.887012697917711e-17
1.19e-06,0.01546164427088622,8.08254562088053e-17
1.195e-06,0.01617954498625806,8.080003540106574e-17
1.2e-06,0.016846196102335544,8.062186531566542e-17
1.2050000000000001e-06,0.017423260547807535,8.064734228432652e-17
1.21e-06,0.017732229965757577,7.763626957778363e-17
1.215e-06,0.01801104570863081,7.954446457145965e-17
1.22e-06,0.01827569689242601,7.842607901964165e-17
1.2250000000000001e-06,0.018468871967553455,7.977656108715413e-17
1.23e-06,0.018715251180638798,8.062186531566542e-17
1.235e-06,0.01903977491958369,7.755684626330686e-17
1.24e-06,0.019179949538781185,7.907822793977953e-17
1.245e-06,0.019296820969913885,8.018751840318324e-17
1.25e-06,0.019383446894803882,7.790042913511167e-17
1.255e-06,0.019451072759037243,7.910420206691776e-17
1.26e-06,0.019459983865921175,7.933758654998266e-17
1.265e-06,0.019392485444552306,7.707858776888524e-17
1.2700000000000001e-06,0.019290070441503514,7.969927068203545e-17
1.275e-06,0.01902042208597457,7.918207332652912e-17
1.28e-06,0.01863820758965228,7.99566148153398e-17
1.285e-06,0.01833851334558341,7.99566148153398e-17
1.29e-06,0.017954341198813863,7.900025431890488e-17
1.295e-06,0.017524345759308342,7.803217357074378e-17
1.3e-06,0.017055349463783682,8.018751840318324e-17
1.305e-06,0.016540552229487117,8.036665142642833e-17
1.31e-06,0.015886624751542414,7.750385217016096e-17
1.3150000000000001e-06,0.015153667646379895,7.737120813632182e-17
1.32e-06,0.01443825118982619,8.138270506328773e-17
1.325e-06,0.013547565382181317,7.811111357431005e-17
1.33e-06,0.012390489689679936,7.957028650512844e-17
1.335e-06,0.011060794886532147,8.074916977726412e-17
1.34e-06,0.00984793839436727,8.118051169482654e-17
1.345e-06,0.00872688855691544,7.969927068203545e-17
1.35e-06,0.007568287479816325,7.726492895409875e-17
1.355e-06,0.006577987914745993,7.829499739865214e-17
1.3600000000000001e-06,0.005966583462345764,7.913016766816421e-17
1.365e-06,0.005689338290613936,7.959610006185134e-17
1.37e-06,0.005667777764901132,7.808480910696226e-17
1.375e-06,0.0060738732564924675,7.962190524977581e-17
1.3800000000000001e-06,0.006901229565441227,7.873978458804285e-17
1.385e-06,0.007994509430495993,7.715850338160936e-17
1.39e-06,0.009379548769882472,7.808480910696226e-17
1.395e-06,0.010708306887387083,7.729151245013876e-17
