tau_c,xi,T2,T2_echo,echo_gain,echo_gain_err,method_used,T2_echo_used
3.821564574585352e-06,33.6297682563511,1.294408944509244e-07,9.364743883753364e-07,5.0,4.601096458461058e-15,fallback_fitting,9.364743883753364e-07
4.868118599241915e-06,42.83944367332886,1.6070608665514846e-07,1.6070608663330626e-07,3.5,2.017688358105501e-15,fallback_fitting,1.6070608663330626e-07
6.201276527914321e-06,54.57123344564602,1.6070608665514846e-07,1.6070608663330626e-07,3.5,2.017688358105501e-15,fallback_fitting,1.6070608663330626e-07
7.899526232095004e-06,69.51583084243603,1.6070608665514846e-07,1.6070608663330626e-07,5.0,1.5651859197530424e-09,direct_measurement,8.035304332757423e-07
1.0062849868194006e-05,88.55307884010725,1.6070608665514846e-07,1.6070608663330626e-07,5.0,1.5651859197530424e-09,direct_measurement,8.035304332757423e-07
1.2818610191887024e-05,112.80376968860584,1.6070608665514846e-07,1.6070608663330626e-07,5.0,2.8824119401507157e-15,direct_measurement,8.035304332757423e-07
1.6329048868244726e-05,143.6956300405536,1.6070608665514846e-07,1.6070608663330626e-07,5.0,2.8824119401507157e-15,direct_measurement,8.035304332757423e-07
2.080083823051906e-05,183.04737642856773,1.6070608665514846e-07,0.0083203352922076,5.0,3.140635304976468e-14,fallback_fitting,0.0083203352922076
2.649724883447742e-05,233.1757897434013,1.6070608665514846e-07,0.0105988995337909,5.0,2.4719151547554756e-14,fallback_fitting,0.0105988995337909
3.375364915660396e-05,297.03211257811483,1.6070608665514846e-07,0.0135014596626415,5.0,1.9486976086420756e-14,fallback_fitting,0.0135014596626415
4.299724995995346e-05,378.3757996475904,2.333202289217412e-07,1.6070608663330626e-07,5.0,1.619157848019655e-09,fallback_fitting,1.6070608663330626e-07
5.477225575051662e-05,481.99585060454626,3.1343712448154546e-07,0.0219089023002066,5.0,1.1944202753296328e-14,fallback_fitting,0.0219089023002066
6.977190408210102e-05,613.992755922489,1.6070608665514846e-07,1.6070608663330626e-07,5.0,1.6191578480202085e-09,fallback_fitting,1.6070608663330626e-07
