time (s),P_echo(t),P_echo_std
4.0000000000000003e-07,0.999999992302158,7.97508059416606e-17
4.0822443251974436e-07,0.9999999919675329,7.990521229327011e-17
4.1661796826516734e-07,0.9999999916800971,7.83081154346659e-17
4.2518408418144197e-07,0.999999991357853,7.959610006185134e-17
4.339263287034908e-07,0.9999999909812177,8.330372606081968e-17
4.428483232258955e-07,0.9999999905844962,7.971215762054348e-17
4.5195376360302876e-07,0.9999999902418214,7.889616961715914e-17
4.612464216800227e-07,0.9999999898162416,8.233634315563857e-17
4.707301468552239e-07,0.9999999893396732,8.188600426433445e-17
4.804088676747742e-07,0.9999999887698342,8.120581339769892e-17
4.90286593459969e-07,0.9999999883532517,7.971215762054348e-17
5.00367415968085e-07,0.9999999878301665,8.143317496275171e-17
5.106555110873559e-07,0.9999999872851392,7.834745636426877e-17
5.211551405667897e-07,0.9999999866537452,7.990521229327011e-17
5.318706537815622e-07,0.9999999861918716,8.370963809298497e-17
5.42806489534709e-07,0.9999999856313623,8.285864508759252e-17
5.539671778958527e-07,0.9999999850200306,8.440616121040728e-17
5.653573420777468e-07,0.9999999844345063,8.27470007812096e-17
5.769817003513966e-07,0.9999999838963369,8.462492484610842e-17
5.888450680005652e-07,0.9999999833064444,8.244854353904129e-17
6.009523593164524e-07,0.9999999826248291,8.426000324584082e-17
6.133085896333993e-07,0.9999999821223015,8.214900197283515e-17
6.259188774064479e-07,0.9999999815021177,8.334070884890605e-17
6.387884463316065e-07,0.999999980759528,8.248590975149166e-17
6.519226275097216e-07,0.9999999802063559,8.48794364729395e-17
6.65326861654842e-07,0.9999999795596367,8.322971118520123e-17
6.790067013479757e-07,0.9999999788000927,8.34515588764179e-17
6.929678133372007e-07,0.999999978248394,8.300727057938826e-17
7.072159808850671e-07,0.9999999775745203,8.703043884346512e-17
7.217571061642521e-07,0.9999999767829,8.466133049410183e-17
7.365972127024852e-07,0.9999999761376483,8.581815721242673e-17
7.517424478777435e-07,0.9999999753611201,8.585405688235606e-17
7.671990854647382e-07,0.9999999746064105,8.52417063073245e-17
7.829735282337723e-07,0.999999973904901,8.34515588764179e-17
7.990723106030342e-07,0.9999999730620196,8.55304174008316e-17
8.155021013454112e-07,0.9999999723934186,8.359913027174625e-17
8.322697063509721e-07,0.9999999716085566,8.436964545649829e-17
8.493820714462495e-07,0.9999999708940275,8.610493547940852e-17
8.668462852714753e-07,0.9999999702295658,8.567440810445459e-17
8.846695822169892e-07,0.9999999695251143,8.585405688235606e-17
9.028593454200241e-07,0.9999999688984446,8.6640086283681e-17
9.214231098230929e-07,0.9999999680323647,8.909496539528164e-17
9.403685652952734e-07,0.9999999672263976,8.706583865735264e-17
9.597035598176727e-07,0.9999999662536845,8.477045362918412e-17
9.794361027343697e-07,0.9999999654976127,8.667564552436705e-17
9.995743680702202e-07,0.9999999645128573,8.829589126839102e-17
1.020126697916867e-06,0.9999999636566863,8.462492484610842e-17
1.0411016058883841e-06,0.9999999625835326,8.516937561436086e-17
1.062507780647948e-06,0.9999999616821382,8.418682910850739e-17
1.084354089507054e-06,0.9999999605701397,8.867895550197894e-17
1.1066495820987026e-06,0.999999959448357,8.685322334937216e-17
1.1294034941261377e-06,0.9999999582345873,8.592581122574815e-17
1.152625251188645e-06,0.9999999570005323,8.829589126839102e-17
1.1763244726860307e-06,0.9999999558059159,8.752473334317945e-17
1.200510975803356e-06,0.9999999544782069,8.968100940422725e-17
1.2251947795776211e-06,0.9999999533584115,8.617648093045563e-17
1.250386109048069e-06,0.9999999521154105,8.285864508759252e-17
1.2760953994917976e-06,0.9999999509277252,8.671119018262734e-17
1.302333300746486e-06,0.999999949785271,8.628368787333617e-17
1.3291106816219994e-06,0.999999948541231,8.720729421554322e-17
1.356438634402678e-06,0.9999999473252807,8.599750569898517e-17
1.3843284794422227e-06,0.9999999461436372,8.610493547940852e-17
